SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
26,48,0.21621621621621623,1. MAURIZIO VELOCCIA (6) | 2. GIORGIO RAFFAELE CALVI (4) | 3. SABRINA ALFONSI (4) | 4. GIULIA TEMPESTA (3) | 5. NELLA CONVERTI (3) | 6. RICCARDO CORBUCCI (3) | 7. YIFAN LIN (3) | 8. DARIO MARCUCCI (2) | 9. MASSIMO DE SIMONI (2) | 10. ANDREA ALEMANNI (1),comune_2021
27,51,0.1946564885496183,1. SABRINA ALFONSI (11) | 2. ANTONELLA MELITO (3) | 3. ANDREA ALEMANNI (2) | 4. CARLA CONSUELO FERMARIELLO (2) | 5. FABRIZIO RUFO (2) | 6. GIOVANNI CRISANTI (2) | 7. MAURIZIO VELOCCIA (2) | 8. PIETRO VITTORIO BARBIERI (2) | 9. SVETLANA CELLI (2) | 10. UBALDO RIGHETTI (2),comune_2021
28,58,0.16246498599439776,1. MAURIZIO VELOCCIA (6) | 2. SABRINA ALFONSI (4) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. CRISTINA MICHETELLI (2) | 5. FABRIZIO RUFO (2) | 6. MARIANO ANGELUCCI (2) | 7. CLAUDIA PAPPATA' (1) | 8. CLAUDIO PARAVATI (1) | 9. ELEONORA GRIMALDI (1) | 10. ERICA BATTAGLIA (1),comune_2021
29,104,0.23853211009174313,1. SABRINA ALFONSI (13) | 2. ANDREA ALEMANNI (8) | 3. SVETLANA CELLI (8) | 4. MAURIZIO VELOCCIA (7) | 5. CARLA CONSUELO FERMARIELLO (5) | 6. FABRIZIO RUFO (5) | 7. MONICA MORICONI (4) | 8. YURI TROMBETTI (4) | 9. CLAUDIO PARAVATI (3) | 10. GIOVANNI ZANNOLA (3),comune_2021
30,78,0.1638655462184874,1. CARLA CONSUELO FERMARIELLO (10) | 2. MAURIZIO VELOCCIA (6) | 3. SABRINA ALFONSI (6) | 4. YURI TROMBETTI (4) | 5. ANDREA ALEMANNI (2) | 6. MARIANO ANGELUCCI (1) | 7. PIERO SANDULLI (1) | 8. ALESSANDRO LEPIDINI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),comune_2021
31,89,0.1913978494623656,1. SABRINA ALFONSI (12) | 2. ANDREA ALEMANNI (11) | 3. CARLA CONSUELO FERMARIELLO (7) | 4. FABRIZIO RUFO (7) | 5. SVETLANA CELLI (7) | 6. MAURIZIO VELOCCIA (6) | 7. RICCARDO CORBUCCI (4) | 8. GIULIA TEMPESTA (3) | 9. GIAMMARCO PALMIERI (2) | 10. GIOVANNI CRISANTI (2),comune_2021
32,73,0.14688128772635814,1. ANDREA ALEMANNI (6) | 2. CARLA CONSUELO FERMARIELLO (5) | 3. SVETLANA CELLI (5) | 4. YURI TROMBETTI (5) | 5. GIULIA TEMPESTA (4) | 6. MAURIZIO VELOCCIA (4) | 7. PIERO SANDULLI (3) | 8. SABRINA ALFONSI (3) | 9. FABRIZIO RUFO (2) | 10. ELEONORA GRIMALDI (1),comune_2021
33,78,0.15757575757575756,1. ANDREA ALEMANNI (9) | 2. CARLA CONSUELO FERMARIELLO (7) | 3. YURI TROMBETTI (5) | 4. MARIANO ANGELUCCI (3) | 5. SVETLANA CELLI (3) | 6. FABRIZIO RUFO (2) | 7. GIOVANNI ZANNOLA (2) | 8. SABRINA ALFONSI (2) | 9. VALERIA BAGLIO (2) | 10. CLAUDIA PAPPATA' (1),comune_2021
34,98,0.16896551724137931,1. ANDREA ALEMANNI (9) | 2. CARLA CONSUELO FERMARIELLO (9) | 3. LORENZO MARINONE (7) | 4. YURI TROMBETTI (7) | 5. SVETLANA CELLI (6) | 6. FABRIZIO RUFO (5) | 7. SABRINA ALFONSI (4) | 8. CLAUDIA PAPPATA' (3) | 9. CRISTINA MICHETELLI (3) | 10. ERICA BATTAGLIA (2),comune_2021
35,105,0.19626168224299065,1. CARLA CONSUELO FERMARIELLO (8) | 2. ANDREA ALEMANNI (6) | 3. ERICA BATTAGLIA (5) | 4. SVETLANA CELLI (4) | 5. MARIANO ANGELUCCI (3) | 6. MAURIZIO VELOCCIA (3) | 7. ROCCO STELITANO (3) | 8. YURI TROMBETTI (3) | 9. ANTONIO CIANCIO (2) | 10. ILARIA PICCOLO (2),comune_2021
36,85,0.18240343347639484,1. ANDREA ALEMANNI (14) | 2. CARLA CONSUELO FERMARIELLO (9) | 3. CLAUDIA PAPPATA' (8) | 4. YURI TROMBETTI (8) | 5. CRISTINA MICHETELLI (6) | 6. NELLA CONVERTI (5) | 7. MAURIZIO VELOCCIA (3) | 8. SABRINA ALFONSI (2) | 9. ANTONIO CIANCIO (1) | 10. GIOVANNI ZANNOLA (1),comune_2021
