SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
85,178,0.3090277777777778,115,1. FEDERICA RAMPINI (11) | 2. FILIPPO MARIA LAGUZZI (11) | 3. NICOLETTA FUNGHI (8) | 4. LUIGI MAIO (5) | 5. CESARE ALFIDI (4) | 6. SIMONA SORTINO (4) | 7. ANTONIO COMITO (3) | 8. MATTEO PIETROSANTE (3) | 9. NASTASSJA HABDANK (2) | 10. LORENZO SPIZZICHINO (1),63,1. MARIA CONCETTA ROMANO (13) | 2. STEFANO SAMPAOLO (9) | 3. CHRISTIAN RAIMO (8) | 4. FRANCESCA FARCHI (7) | 5. MATTEO ZOCCHI (7) | 6. GIOVANNI RUOCCO (3) | 7. ANNA LODESERTO (2) | 8. CHIARA CENTAMORI (1) | 9. GIULIA FERRARA (1) | 10. MARIA LUCIA CERABONA (1),municipio3_2021
86,183,0.34398496240601506,96,1. FEDERICA RAMPINI (11) | 2. FILIPPO MARIA LAGUZZI (9) | 3. NASTASSJA HABDANK (6) | 4. LUIGI MAIO (5) | 5. MATTEO PIETROSANTE (3) | 6. NICOLETTA FUNGHI (3) | 7. SIMONA SORTINO (3) | 8. ITALO DELLA BELLA (2) | 9. MONICA MAGGI (2) | 10. ROBERTO CASAMENTO (2),87,1. CHRISTIAN RAIMO (13) | 2. STEFANO SAMPAOLO (10) | 3. MATTEO ZOCCHI (9) | 4. MARIA CONCETTA ROMANO (7) | 5. GIOVANNI RUOCCO (5) | 6. FRANCESCA FARCHI (4) | 7. ORNELLA PUNZO (4) | 8. ANNA LODESERTO (3) | 9. CHIARA CENTAMORI (3) | 10. MARIA CRISTINA PANI (3),municipio3_2021
87,161,0.30842911877394635,103,1. FEDERICA RAMPINI (8) | 2. LUIGI MAIO (3) | 3. MARIA ANTONIETTA DEL MORO (3) | 4. MARIA TERESA ELLUL (3) | 5. NASTASSJA HABDANK (3) | 6. NICOLETTA FUNGHI (3) | 7. PAOLA CAVALIERI (3) | 8. ROBERTO CASAMENTO (3) | 9. CESARE ALFIDI (2) | 10. FILIPPO MARIA LAGUZZI (2),58,1. CHRISTIAN RAIMO (15) | 2. MATTEO ZOCCHI (8) | 3. MARIA CONCETTA ROMANO (6) | 4. FRANCESCA FARCHI (4) | 5. ANNA LODESERTO (3) | 6. STEFANO SAMPAOLO (3) | 7. MARTINA TESTA (2) | 8. ANTONIO FABRIZI (1) | 9. MARIA LUCIA CERABONA (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
88,163,0.3558951965065502,102,1. FEDERICA RAMPINI (12) | 2. FILIPPO MARIA LAGUZZI (10) | 3. NASTASSJA HABDANK (5) | 4. NICOLETTA FUNGHI (5) | 5. GABRIELE CARRADORI (4) | 6. LORENZO SPIZZICHINO (4) | 7. MATTEO PIETROSANTE (4) | 8. PAOLA CAVALIERI (4) | 9. ITALO DELLA BELLA (1) | 10. LUIGI MAIO (1),61,1. GIOVANNI RUOCCO (11) | 2. ANNA LODESERTO (10) | 3. CHRISTIAN RAIMO (7) | 4. STEFANO SAMPAOLO (7) | 5. MARIA CONCETTA ROMANO (5) | 6. FRANCESCA FARCHI (4) | 7. MATTEO ZOCCHI (4) | 8. CHIARA CENTAMORI (1) | 9. ENRICA LEO (1) | 10. MARIA CRISTINA PANI (1),municipio3_2021
89,139,0.2693798449612403,88,1. MATTEO PIETROSANTE (7) | 2. FILIPPO MARIA LAGUZZI (5) | 3. ANTONIO COMITO (4) | 4. MONICA MAGGI (3) | 5. ITALO DELLA BELLA (2) | 6. SILVIA DE ROSA (2) | 7. SIMONA RUSSO (2) | 8. SIMONA SORTINO (2) | 9. CESARE ALFIDI (1) | 10. FEDERICA RAMPINI (1),51,1. CHRISTIAN RAIMO (13) | 2. FRANCESCA FARCHI (11) | 3. MARIA CONCETTA ROMANO (10) | 4. STEFANO SAMPAOLO (8) | 5. ANNA LODESERTO (3) | 6. GIOVANNI RUOCCO (2) | 7. MARTINA TESTA (2) | 8. ALESSANDRO TADDEI (1) | 9. CHIARA CALLINI (1) | 10. CHIARA CENTAMORI (1),municipio3_2021
90,115,0.2725118483412322,85,1. MATTEO PIETROSANTE (12) | 2. NASTASSJA HABDANK (9) | 3. FILIPPO MARIA LAGUZZI (6) | 4. MONICA MAGGI (6) | 5. FEDERICA RAMPINI (5) | 6. NICOLETTA FUNGHI (5) | 7. PAOLA CAVALIERI (5) | 8. LORENZO SPIZZICHINO (3) | 9. GABRIELE CARRADORI (2) | 10. ANTONIO COMITO (1),30,1. MATTEO ZOCCHI (9) | 2. CHRISTIAN RAIMO (5) | 3. CHIARA CENTAMORI (2) | 4. GIOVANNI RUOCCO (2) | 5. MARIA CRISTINA PANI (2) | 6. MARIA LUCIA CERABONA (2) | 7. MARTINA TESTA (2) | 8. ANNA LODESERTO (1) | 9. CHIARA CALLINI (1) | 10. ENRICA LEO (1),municipio3_2021
91,121,0.2688888888888889,82,1. LORENZO SPIZZICHINO (6) | 2. LUIGI MAIO (5) | 3. MONICA MAGGI (5) | 4. FEDERICA RAMPINI (4) | 5. FILIPPO MARIA LAGUZZI (4) | 6. PAOLA CAVALIERI (4) | 7. ANTONIO COMITO (3) | 8. ROBERTO CASAMENTO (3) | 9. NASTASSJA HABDANK (2) | 10. CESARE ALFIDI (1),39,1. MATTEO ZOCCHI (7) | 2. MARTINA TESTA (4) | 3. STEFANO SAMPAOLO (4) | 4. ANNA LODESERTO (3) | 5. ANTONIO FABRIZI (3) | 6. CHRISTIAN RAIMO (3) | 7. MARIA CONCETTA ROMANO (3) | 8. CHIARA CALLINI (2) | 9. FRANCESCA FARCHI (2) | 10. CHIARA CENTAMORI (1),municipio3_2021
92,166,0.32741617357001973,108,1. PAOLA CAVALIERI (12) | 2. SILVIA DE ROSA (8) | 3. CESARE ALFIDI (6) | 4. MATTEO PIETROSANTE (6) | 5. LORENZO SPIZZICHINO (5) | 6. NASTASSJA HABDANK (5) | 7. FILIPPO MARIA LAGUZZI (4) | 8. ROBERTO CASAMENTO (4) | 9. SIMONETTA ANACLERIO (3) | 10. ANTONIO COMITO (2),58,1. STEFANO SAMPAOLO (11) | 2. FRANCESCA FARCHI (7) | 3. CHRISTIAN RAIMO (6) | 4. MARIA CONCETTA ROMANO (6) | 5. MATTEO ZOCCHI (5) | 6. ANNA LODESERTO (2) | 7. ANTONIO FABRIZI (2) | 8. MARIA CRISTINA PANI (2) | 9. MARTINA TESTA (2) | 10. CHIARA CENTAMORI (1),municipio3_2021
93,108,0.25961538461538464,82,1. MATTEO PIETROSANTE (8) | 2. NASTASSJA HABDANK (6) | 3. FEDERICA RAMPINI (5) | 4. FILIPPO MARIA LAGUZZI (5) | 5. LORENZO SPIZZICHINO (4) | 6. PAOLA CAVALIERI (3) | 7. NICOLETTA FUNGHI (2) | 8. ROBERTO CASAMENTO (2) | 9. CESARE ALFIDI (1) | 10. GABRIELE CARRADORI (1),26,1. MARIA ANTONIETTA DE VICO (5) | 2. MARIA CONCETTA ROMANO (3) | 3. STEFANO SAMPAOLO (3) | 4. ROSA FERRETTI (2) | 5. ANTONIO FABRIZI (1) | 6. CHRISTIAN RAIMO (1) | 7. ISABELLA BOARI (1) | 8. ALESSANDRO TADDEI (0) | 9. ANNA LODESERTO (0) | 10. CHIARA CALLINI (0),municipio3_2021
94,120,0.25,78,1. ROBERTO CASAMENTO (7) | 2. PAOLA CAVALIERI (5) | 3. SIMONA SORTINO (5) | 4. LORENZO SPIZZICHINO (4) | 5. CESARE ALFIDI (2) | 6. GABRIELE CARRADORI (2) | 7. MATTEO PIETROSANTE (2) | 8. NASTASSJA HABDANK (2) | 9. FEDERICA RAMPINI (1) | 10. FILIPPO MARIA LAGUZZI (1),42,1. MARIA CONCETTA ROMANO (8) | 2. STEFANO SAMPAOLO (6) | 3. CHRISTIAN RAIMO (5) | 4. MARTINA TESTA (5) | 5. CHIARA CALLINI (3) | 6. GIOVANNI RUOCCO (3) | 7. FRANCESCA FARCHI (2) | 8. ANNA LODESERTO (1) | 9. ANTONIO FABRIZI (1) | 10. SILVIA LAZZARI (1),municipio3_2021
