SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
24,53,0.14804469273743018,45,1. EDMOND GODO (7) | 2. MAURIZIO VELOCCIA (7) | 3. GIULIA TEMPESTA (6) | 4. SABRINA ALFONSI (6) | 5. CRISTINA MICHETELLI (4) | 6. CARLA CONSUELO FERMARIELLO (2) | 7. GIOVANNI CRISANTI (1) | 8. JULIAN COLABELLO (1) | 9. PIERO SANDULLI (1) | 10. ALESSANDRO LEPIDINI (0),8,1. GIOVANNI CAUDO (2) | 2. FRANCESCA TOLINO (1) | 3. MARTINA TESTA (1) | 4. RUGGERO SCOTTI (1) | 5. SIMONE SAPIENZA (1) | 6. SUSANNA SPAFFORD (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. CLAUDIA PRATELLI (0),comune_2021
25,113,0.1934931506849315,96,1. RICCARDO CORBUCCI (14) | 2. GIULIA TEMPESTA (12) | 3. ANDREA ALEMANNI (2) | 4. EDMOND GODO (2) | 5. GIOVANNI ZANNOLA (2) | 6. MAURIZIO VELOCCIA (2) | 7. NELLA CONVERTI (2) | 8. CRISTINA MICHETELLI (1) | 9. DANIELE PARRUCCI (1) | 10. FABRIZIO RUFO (1),17,1. GIOVANNI CAUDO (9) | 2. CLAUDIA PRATELLI (5) | 3. VALERIO BONANNI (2) | 4. GIAN LUCA RIPARBELLI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
26,61,0.2747747747747748,48,1. MAURIZIO VELOCCIA (6) | 2. GIORGIO RAFFAELE CALVI (4) | 3. SABRINA ALFONSI (4) | 4. GIULIA TEMPESTA (3) | 5. NELLA CONVERTI (3) | 6. RICCARDO CORBUCCI (3) | 7. YIFAN LIN (3) | 8. DARIO MARCUCCI (2) | 9. MASSIMO DE SIMONI (2) | 10. ANDREA ALEMANNI (1),13,1. GIOVANNI CAUDO (4) | 2. CLAUDIA PRATELLI (2) | 3. DAVIDE GROSSI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
27,53,0.20229007633587787,51,1. SABRINA ALFONSI (11) | 2. ANTONELLA MELITO (3) | 3. ANDREA ALEMANNI (2) | 4. CARLA CONSUELO FERMARIELLO (2) | 5. FABRIZIO RUFO (2) | 6. GIOVANNI CRISANTI (2) | 7. MAURIZIO VELOCCIA (2) | 8. PIETRO VITTORIO BARBIERI (2) | 9. SVETLANA CELLI (2) | 10. UBALDO RIGHETTI (2),2,1. DANIELA PATTI (1) | 2. GIOVANNI CAUDO (1) | 3. PAOLO LECCESE (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
28,68,0.19047619047619047,58,1. MAURIZIO VELOCCIA (6) | 2. SABRINA ALFONSI (4) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. CRISTINA MICHETELLI (2) | 5. FABRIZIO RUFO (2) | 6. MARIANO ANGELUCCI (2) | 7. CLAUDIA PAPPATA' (1) | 8. CLAUDIO PARAVATI (1) | 9. ELEONORA GRIMALDI (1) | 10. ERICA BATTAGLIA (1),10,1. GIOVANNI CAUDO (7) | 2. ROSSANA BASSI (2) | 3. FRANCESCA TOLINO (1) | 4. GIULIA FERRARA (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. CLAUDIA PRATELLI (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
29,119,0.27293577981651373,104,1. SABRINA ALFONSI (13) | 2. ANDREA ALEMANNI (8) | 3. SVETLANA CELLI (8) | 4. MAURIZIO VELOCCIA (7) | 5. CARLA CONSUELO FERMARIELLO (5) | 6. FABRIZIO RUFO (5) | 7. MONICA MORICONI (4) | 8. YURI TROMBETTI (4) | 9. CLAUDIO PARAVATI (3) | 10. GIOVANNI ZANNOLA (3),15,1. GIOVANNI CAUDO (9) | 2. CLAUDIA PRATELLI (6) | 3. DANIELE MANCINI (1) | 4. SUSANNA SPAFFORD (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
30,87,0.18277310924369747,78,1. CARLA CONSUELO FERMARIELLO (10) | 2. MAURIZIO VELOCCIA (6) | 3. SABRINA ALFONSI (6) | 4. YURI TROMBETTI (4) | 5. ANDREA ALEMANNI (2) | 6. MARIANO ANGELUCCI (1) | 7. PIERO SANDULLI (1) | 8. ALESSANDRO LEPIDINI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),9,1. ALESSANDRA QUATTROCCHI (3) | 2. ALESSANDRA LATERZA (1) | 3. GIOVANNI CAUDO (1) | 4. PAOLO LECCESE (1) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
31,110,0.23655913978494625,89,1. SABRINA ALFONSI (12) | 2. ANDREA ALEMANNI (11) | 3. CARLA CONSUELO FERMARIELLO (7) | 4. FABRIZIO RUFO (7) | 5. SVETLANA CELLI (7) | 6. MAURIZIO VELOCCIA (6) | 7. RICCARDO CORBUCCI (4) | 8. GIULIA TEMPESTA (3) | 9. GIAMMARCO PALMIERI (2) | 10. GIOVANNI CRISANTI (2),21,1. GIOVANNI CAUDO (7) | 2. CLAUDIA PRATELLI (5) | 3. FRANCESCA MARINA MORPURGO (3) | 4. DAVIDE GROSSI (1) | 5. EMILIANO COFANO (1) | 6. FLORESTANO PASTORE (1) | 7. ISABELLA BOARI (1) | 8. MARCO TRIMALDI (1) | 9. ROSSANA BASSI (1) | 10. VALERIO BONANNI (1),comune_2021
32,88,0.17706237424547283,73,1. ANDREA ALEMANNI (6) | 2. CARLA CONSUELO FERMARIELLO (5) | 3. SVETLANA CELLI (5) | 4. YURI TROMBETTI (5) | 5. GIULIA TEMPESTA (4) | 6. MAURIZIO VELOCCIA (4) | 7. PIERO SANDULLI (3) | 8. SABRINA ALFONSI (3) | 9. FABRIZIO RUFO (2) | 10. ELEONORA GRIMALDI (1),15,1. GIOVANNI CAUDO (7) | 2. CLAUDIA PRATELLI (2) | 3. SIMONE SAPIENZA (2) | 4. GIULIA FERRARA (1) | 5. MARTINA TESTA (1) | 6. NICOLA CERABONA (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELA PATTI (0),comune_2021
33,88,0.17777777777777778,78,1. ANDREA ALEMANNI (9) | 2. CARLA CONSUELO FERMARIELLO (7) | 3. YURI TROMBETTI (5) | 4. MARIANO ANGELUCCI (3) | 5. SVETLANA CELLI (3) | 6. FABRIZIO RUFO (2) | 7. GIOVANNI ZANNOLA (2) | 8. SABRINA ALFONSI (2) | 9. VALERIA BAGLIO (2) | 10. CLAUDIA PAPPATA' (1),10,1. CLAUDIA PRATELLI (3) | 2. GIOVANNI CAUDO (2) | 3. FRANCESCA MARINA MORPURGO (1) | 4. ISABELLA BOARI (1) | 5. TOMMASO FELICI (1) | 6. VALERIO BONANNI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELA PATTI (0),comune_2021
