SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
1131,76,0.1958762886597938,69,1. MARIANO ANGELUCCI (21) | 2. DANIELE PARRUCCI (5) | 3. ANTONIO STAMPETE (4) | 4. ANTONELLA MELITO (3) | 5. DARIO MARCUCCI (3) | 6. ILARIA PICCOLO (3) | 7. MAURIZIO VELOCCIA (3) | 8. SVETLANA CELLI (3) | 9. VALERIA BAGLIO (3) | 10. ANDREA ALEMANNI (2),7,1. GIOVANNI CAUDO (2) | 2. ALESSANDRA LATERZA (1) | 3. GIAN LUCA RIPARBELLI (1) | 4. TIZIANA BIOLGHINI (1) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
1132,42,0.16279069767441862,39,1. MARIANO ANGELUCCI (7) | 2. ANDREA ALEMANNI (3) | 3. SVETLANA CELLI (3) | 4. NELLA CONVERTI (2) | 5. CRISTINA MICHETELLI (1) | 6. GIOVANNI ZANNOLA (1) | 7. MAURIZIO VELOCCIA (1) | 8. PIETRO VITTORIO BARBIERI (1) | 9. SABRINA ALFONSI (1) | 10. ALESSANDRO LEPIDINI (0),3,1. RUGGERO SCOTTI (1) | 2. TIZIANA BIOLGHINI (1) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
1133,39,0.16883116883116883,37,1. MARIANO ANGELUCCI (6) | 2. SVETLANA CELLI (5) | 3. ANTONIO STAMPETE (4) | 4. ANDREA ALEMANNI (3) | 5. ANTONIO CIANCIO (2) | 6. ERICA BATTAGLIA (1) | 7. MAURIZIO VELOCCIA (1) | 8. SABRINA ALFONSI (1) | 9. UBALDO RIGHETTI (1) | 10. ALESSANDRO LEPIDINI (0),2,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1134,44,0.19730941704035873,42,1. MARIANO ANGELUCCI (8) | 2. ANDREA ALEMANNI (1) | 3. MASSIMO DE SIMONI (1) | 4. MAURIZIO VELOCCIA (1) | 5. NELLA CONVERTI (1) | 6. ROCCO STELITANO (1) | 7. SABRINA ALFONSI (1) | 8. ALESSANDRO LEPIDINI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),2,1. ALESSANDRA LATERZA (1) | 2. GIOVANNI CAUDO (1) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1135,34,0.13385826771653545,29,1. CLAUDIA PAPPATA' (2) | 2. GIAMMARCO PALMIERI (2) | 3. GIULIA TEMPESTA (2) | 4. MARIANO ANGELUCCI (2) | 5. MAURIZIO VELOCCIA (2) | 6. ROCCO STELITANO (2) | 7. VALERIA BAGLIO (2) | 8. ANTONELLA MELITO (1) | 9. ANTONIO STAMPETE (1) | 10. ILARIA PICCOLO (1),5,1. GIOVANNI CAUDO (1) | 2. MARCO TRIMALDI (1) | 3. MARIA ASSUNTA VITELLI (1) | 4. VALERIO BONANNI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. CLAUDIA PRATELLI (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
1136,75,0.14619883040935672,67,1. GIOVANNI ZANNOLA (4) | 2. ROCCO STELITANO (4) | 3. ANTONIO CIANCIO (3) | 4. ANDREA ALEMANNI (2) | 5. ERICA BATTAGLIA (2) | 6. MASSIMO DE SIMONI (2) | 7. SVETLANA CELLI (2) | 8. CARLA CONSUELO FERMARIELLO (1) | 9. GIAMMARCO PALMIERI (1) | 10. GIULIA TEMPESTA (1),8,1. ALESSANDRA LATERZA (5) | 2. GIOVANNI CAUDO (1) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1137,62,0.13963963963963963,53,1. NELLA CONVERTI (5) | 2. MASSIMO DE SIMONI (3) | 3. MAURIZIO VELOCCIA (3) | 4. ERICA BATTAGLIA (2) | 5. ROCCO STELITANO (2) | 6. ANDREA ALEMANNI (1) | 7. ANTONIO STAMPETE (1) | 8. FLAVIA RESTIVO (1) | 9. GIOVANNI ZANNOLA (1) | 10. GIULIA TEMPESTA (1),9,1. GIOVANNI CAUDO (2) | 2. SUSANNA POLIMANTI (2) | 3. ALESSANDRA LATERZA (1) | 4. FLORESTANO PASTORE (1) | 5. LORENZO GASPARRINI (1) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. CLAUDIA PRATELLI (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
1138,91,0.19238900634249473,84,1. SVETLANA CELLI (7) | 2. ERICA BATTAGLIA (6) | 3. ROCCO STELITANO (5) | 4. MARIANO ANGELUCCI (3) | 5. YURI TROMBETTI (3) | 6. ALESSANDRO LEPIDINI (2) | 7. ANDREA ALEMANNI (2) | 8. DARIO MARCUCCI (2) | 9. GIOVANNI ZANNOLA (2) | 10. GIULIA TEMPESTA (2),7,1. ALESSANDRA LATERZA (1) | 2. CLAUDIA PRATELLI (1) | 3. FLORESTANO PASTORE (1) | 4. GIOVANNI CAUDO (1) | 5. MARTINA TESTA (1) | 6. TIZIANA BIOLGHINI (1) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
1139,72,0.1935483870967742,61,1. VALERIA BAGLIO (4) | 2. ERICA BATTAGLIA (3) | 3. MAURIZIO VELOCCIA (3) | 4. GIULIA TEMPESTA (2) | 5. MASSIMO DE SIMONI (2) | 6. NELLA CONVERTI (2) | 7. ROCCO STELITANO (2) | 8. ALESSANDRO LEPIDINI (1) | 9. CLAUDIA PAPPATA' (1) | 10. GIAMMARCO PALMIERI (1),11,1. GIOVANNI CAUDO (2) | 2. CLAUDIA PRATELLI (1) | 3. DANIELA PATTI (1) | 4. EMILIANO COFANO (1) | 5. FLORESTANO PASTORE (1) | 6. STEFANO AMBROSETTI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELE MANCINI (0),comune_2021
1140,58,0.16292134831460675,51,1. NELLA CONVERTI (5) | 2. ANTONIO CIANCIO (4) | 3. MASSIMO DE SIMONI (4) | 4. MAURIZIO VELOCCIA (3) | 5. DANIELE PARRUCCI (2) | 6. ERICA BATTAGLIA (2) | 7. SABRINA ALFONSI (2) | 8. DARIO MARCUCCI (1) | 9. GIOVANNI ZANNOLA (1) | 10. ILARIA PICCOLO (1),7,1. GIAN LUCA RIPARBELLI (1) | 2. GIOVANNI CAUDO (1) | 3. SIMONE SAPIENZA (1) | 4. TIZIANA BIOLGHINI (1) | 5. VALERIO BONANNI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELA PATTI (0),comune_2021
1141,88,0.24719101123595505,83,1. ROCCO STELITANO (11) | 2. NELLA CONVERTI (9) | 3. GIOVANNI ZANNOLA (7) | 4. GIULIA TEMPESTA (5) | 5. MAURIZIO VELOCCIA (5) | 6. ERICA BATTAGLIA (4) | 7. ANTONIO CIANCIO (3) | 8. SABRINA ALFONSI (3) | 9. CARLA CONSUELO FERMARIELLO (2) | 10. CLAUDIA PAPPATA' (2),5,1. NICOLA CERABONA (2) | 2. STEFANO AMBROSETTI (2) | 3. TIZIANA BIOLGHINI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
1142,58,0.18181818181818182,58,1. GIOVANNI ZANNOLA (4) | 2. ANTONIO CIANCIO (3) | 3. ROCCO STELITANO (3) | 4. ERICA BATTAGLIA (2) | 5. GIULIA TEMPESTA (2) | 6. MASSIMO DE SIMONI (2) | 7. MAURIZIO VELOCCIA (2) | 8. NELLA CONVERTI (2) | 9. SABRINA ALFONSI (2) | 10. VALERIA BAGLIO (2),0,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1143,60,0.1744186046511628,54,1. GIOVANNI ZANNOLA (7) | 2. NELLA CONVERTI (6) | 3. ROCCO STELITANO (6) | 4. MASSIMO DE SIMONI (5) | 5. CLAUDIA PAPPATA' (4) | 6. DANIELE PARRUCCI (4) | 7. RICCARDO CORBUCCI (4) | 8. SVETLANA CELLI (3) | 9. ANDREA ALEMANNI (2) | 10. ERICA BATTAGLIA (2),6,1. CLAUDIA PRATELLI (3) | 2. DANIELA PATTI (1) | 3. GIOVANNI CAUDO (1) | 4. PAOLO LECCESE (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
1144,74,0.16263736263736264,66,1. ERICA BATTAGLIA (10) | 2. GIOVANNI ZANNOLA (4) | 3. MARIANO ANGELUCCI (4) | 4. FABRIZIO RUFO (1) | 5. RICCARDO CORBUCCI (1) | 6. ALESSANDRO LEPIDINI (0) | 7. ANDREA ALEMANNI (0) | 8. ANTONELLA MELITO (0) | 9. ANTONIO CIANCIO (0) | 10. ANTONIO STAMPETE (0),8,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1145,53,0.19413919413919414,53,1. ANDREA ALEMANNI (5) | 2. ANTONIO CIANCIO (3) | 3. DANIELE PARRUCCI (3) | 4. SVETLANA CELLI (3) | 5. GIOVANNI ZANNOLA (2) | 6. ANTONELLA MELITO (1) | 7. ANTONIO STAMPETE (1) | 8. GIULIA TEMPESTA (1) | 9. MARIANO ANGELUCCI (1) | 10. MASSIMO DE SIMONI (1),0,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1146,59,0.17771084337349397,52,1. NELLA CONVERTI (5) | 2. ERICA BATTAGLIA (3) | 3. MASSIMO DE SIMONI (3) | 4. ROCCO STELITANO (2) | 5. ANTONIO CIANCIO (1) | 6. ANTONIO STAMPETE (1) | 7. CARLA CONSUELO FERMARIELLO (1) | 8. GIULIA TEMPESTA (1) | 9. MARIANO ANGELUCCI (1) | 10. SABRINA ALFONSI (1),7,1. ALESSANDRA LATERZA (1) | 2. SIMONE SAPIENZA (1) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1147,44,0.15714285714285714,39,1. GIOVANNI ZANNOLA (7) | 2. ROCCO STELITANO (4) | 3. VALERIA BAGLIO (3) | 4. ANTONIO CIANCIO (2) | 5. CRISTINA MICHETELLI (2) | 6. ERICA BATTAGLIA (2) | 7. UBALDO RIGHETTI (2) | 8. ANTONIO STAMPETE (1) | 9. DARIO MARCUCCI (1) | 10. GIULIA TEMPESTA (1),5,1. STEFANO AMBROSETTI (1) | 2. TIZIANA BIOLGHINI (1) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
1148,75,0.16968325791855204,71,1. MARIANO ANGELUCCI (8) | 2. ROCCO STELITANO (7) | 3. ANTONELLA MELITO (4) | 4. ERICA BATTAGLIA (3) | 5. SABRINA ALFONSI (3) | 6. ILARIA PICCOLO (2) | 7. ALESSANDRO LEPIDINI (1) | 8. ANTONIO CIANCIO (1) | 9. DANIELE PARRUCCI (1) | 10. FABRIZIO RUFO (1),4,1. ISABELLA BORRELLI (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1149,46,0.16606498194945848,39,1. ERICA BATTAGLIA (10) | 2. ROCCO STELITANO (7) | 3. YURI TROMBETTI (2) | 4. ANDREA ALEMANNI (1) | 5. ANTONIO CIANCIO (1) | 6. CARLA CONSUELO FERMARIELLO (1) | 7. CRISTINA MICHETELLI (1) | 8. GIOVANNI ZANNOLA (1) | 9. SVETLANA CELLI (1) | 10. UBALDO RIGHETTI (1),7,1. GIOVANNI CAUDO (3) | 2. FLORESTANO PASTORE (1) | 3. ISABELLA BORRELLI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
1150,72,0.17518248175182483,68,1. MARIANO ANGELUCCI (4) | 2. ROCCO STELITANO (4) | 3. ERICA BATTAGLIA (3) | 4. NELLA CONVERTI (3) | 5. GIOVANNI ZANNOLA (2) | 6. MASSIMO DE SIMONI (2) | 7. MAURIZIO VELOCCIA (2) | 8. PIETRO VITTORIO BARBIERI (2) | 9. ANTONELLA MELITO (1) | 10. ANTONIO CIANCIO (1),4,1. ALESSANDRA LATERZA (1) | 2. GIOVANNI CAUDO (1) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1151,62,0.14903846153846154,62,1. SVETLANA CELLI (6) | 2. MARIANO ANGELUCCI (5) | 3. UBALDO RIGHETTI (5) | 4. GIULIA TEMPESTA (4) | 5. ANDREA ALEMANNI (3) | 6. ERICA BATTAGLIA (3) | 7. ROCCO STELITANO (2) | 8. YURI TROMBETTI (2) | 9. ANTONIO STAMPETE (1) | 10. CLAUDIA PAPPATA' (1),0,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1152,94,0.16549295774647887,90,1. ERICA BATTAGLIA (9) | 2. MAURIZIO VELOCCIA (8) | 3. NELLA CONVERTI (5) | 4. ROCCO STELITANO (5) | 5. MASSIMO DE SIMONI (3) | 6. SABRINA ALFONSI (3) | 7. GIAMMARCO PALMIERI (2) | 8. MARIANO ANGELUCCI (2) | 9. ANDREA ALEMANNI (1) | 10. ANTONIO STAMPETE (1),4,1. CLAUDIA PRATELLI (2) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1153,83,0.14664310954063603,77,1. ERICA BATTAGLIA (8) | 2. ANTONIO STAMPETE (7) | 3. SVETLANA CELLI (4) | 4. ANDREA ALEMANNI (3) | 5. GIULIA TEMPESTA (3) | 6. ROCCO STELITANO (3) | 7. UBALDO RIGHETTI (3) | 8. DANIELE PARRUCCI (1) | 9. GIOVANNI ZANNOLA (1) | 10. MASSIMO DE SIMONI (1),6,1. CLAUDIA PRATELLI (1) | 2. DANIELA PATTI (1) | 3. GIOVANNI CAUDO (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1154,41,0.11294765840220386,40,1. ERICA BATTAGLIA (3) | 2. SVETLANA CELLI (3) | 3. ANDREA ALEMANNI (2) | 4. ANTONIO STAMPETE (2) | 5. MONICA MORICONI (2) | 6. ROCCO STELITANO (2) | 7. ALESSANDRO LEPIDINI (1) | 8. DANIELE PARRUCCI (1) | 9. DARIO MARCUCCI (1) | 10. ANTONELLA MELITO (0),1,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1155,55,0.13221153846153846,51,1. GIOVANNI ZANNOLA (7) | 2. DANIELE PARRUCCI (5) | 3. ROCCO STELITANO (5) | 4. VALERIA BAGLIO (5) | 5. ERICA BATTAGLIA (4) | 6. NELLA CONVERTI (3) | 7. ALESSANDRO LEPIDINI (1) | 8. ANTONIO STAMPETE (1) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CLAUDIA PAPPATA' (1),4,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1156,53,0.10663983903420524,48,1. ROCCO STELITANO (9) | 2. GIOVANNI ZANNOLA (3) | 3. MAURIZIO VELOCCIA (3) | 4. CLAUDIA PAPPATA' (2) | 5. ERICA BATTAGLIA (2) | 6. MASSIMO DE SIMONI (2) | 7. NELLA CONVERTI (2) | 8. ALESSANDRO LEPIDINI (1) | 9. ANTONIO STAMPETE (1) | 10. CARLA CONSUELO FERMARIELLO (1),5,1. FLORESTANO PASTORE (1) | 2. SIMONE SAPIENZA (1) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
1157,78,0.22033898305084745,62,1. ROCCO STELITANO (5) | 2. MAURIZIO VELOCCIA (4) | 3. ANTONELLA MELITO (3) | 4. ANTONIO STAMPETE (2) | 5. CARLA CONSUELO FERMARIELLO (2) | 6. GIULIA TEMPESTA (2) | 7. MARIANO ANGELUCCI (2) | 8. SABRINA ALFONSI (2) | 9. DANIELE PARRUCCI (1) | 10. DARIO MARCUCCI (1),16,1. FLORESTANO PASTORE (1) | 2. ISABELLA BORRELLI (1) | 3. PAOLO PARNASI (1) | 4. STEFANO AMBROSETTI (1) | 5. VALERIO BONANNI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELA PATTI (0),comune_2021
1158,110,0.20912547528517111,105,1. ANTONELLA MELITO (26) | 2. MAURIZIO VELOCCIA (10) | 3. NELLA CONVERTI (8) | 4. ROCCO STELITANO (5) | 5. YURI TROMBETTI (5) | 6. DANIELE PARRUCCI (4) | 7. MASSIMO DE SIMONI (3) | 8. CARLA CONSUELO FERMARIELLO (2) | 9. CLAUDIA PAPPATA' (2) | 10. GIAMMARCO PALMIERI (2),5,1. GIAN LUCA RIPARBELLI (2) | 2. ALESSANDRA LATERZA (1) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1159,72,0.16783216783216784,68,1. MASSIMO DE SIMONI (4) | 2. ERICA BATTAGLIA (3) | 3. MAURIZIO VELOCCIA (3) | 4. NELLA CONVERTI (3) | 5. ROCCO STELITANO (3) | 6. SVETLANA CELLI (3) | 7. DANIELE PARRUCCI (2) | 8. MARIANO ANGELUCCI (2) | 9. UBALDO RIGHETTI (2) | 10. ANDREA ALEMANNI (1),4,1. CLAUDIA PRATELLI (1) | 2. GIOVANNI CAUDO (1) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
1160,83,0.14586994727592267,76,1. ERICA BATTAGLIA (5) | 2. MAURIZIO VELOCCIA (5) | 3. ROCCO STELITANO (3) | 4. GIULIA TEMPESTA (2) | 5. NELLA CONVERTI (2) | 6. SVETLANA CELLI (2) | 7. ANDREA ALEMANNI (1) | 8. ANTONIO CIANCIO (1) | 9. DANIELE PARRUCCI (1) | 10. MASSIMO DE SIMONI (1),7,1. CLAUDIA PRATELLI (2) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1161,106,0.17462932454695224,99,1. SVETLANA CELLI (20) | 2. ANDREA ALEMANNI (14) | 3. DANIELE PARRUCCI (3) | 4. GIOVANNI ZANNOLA (3) | 5. ROCCO STELITANO (3) | 6. YURI TROMBETTI (3) | 7. ERICA BATTAGLIA (2) | 8. MASSIMO DE SIMONI (2) | 9. ANTONIO CIANCIO (1) | 10. MAURIZIO VELOCCIA (1),7,1. CLAUDIA PRATELLI (2) | 2. GIOVANNI CAUDO (2) | 3. GIULIA FERRARA (1) | 4. ISABELLA BORRELLI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
1162,105,0.18356643356643357,97,1. ROCCO STELITANO (14) | 2. ERICA BATTAGLIA (13) | 3. MARIANO ANGELUCCI (5) | 4. CLAUDIA PAPPATA' (4) | 5. DANIELE PARRUCCI (4) | 6. GIULIA TEMPESTA (3) | 7. YURI TROMBETTI (3) | 8. ANTONIO STAMPETE (2) | 9. GIAMMARCO PALMIERI (2) | 10. MONICA MORICONI (2),8,1. DANIELA PATTI (1) | 2. NICOLA CERABONA (1) | 3. SIMONE SAPIENZA (1) | 4. STEFANO AMBROSETTI (1) | 5. TIZIANA BIOLGHINI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELE MANCINI (0),comune_2021
1163,61,0.19805194805194806,60,1. DANIELE PARRUCCI (5) | 2. ROCCO STELITANO (3) | 3. ANDREA ALEMANNI (2) | 4. CARLA CONSUELO FERMARIELLO (1) | 5. MARIANO ANGELUCCI (1) | 6. NELLA CONVERTI (1) | 7. OLIMPIA TROILI (1) | 8. UBALDO RIGHETTI (1) | 9. ALESSANDRO LEPIDINI (0) | 10. ANTONELLA MELITO (0),1,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
1164,103,0.22391304347826088,89,1. ERICA BATTAGLIA (8) | 2. ROCCO STELITANO (6) | 3. ANTONIO CIANCIO (4) | 4. MAURIZIO VELOCCIA (4) | 5. DANIELE PARRUCCI (2) | 6. GIOVANNI ZANNOLA (2) | 7. MASSIMO DE SIMONI (2) | 8. SABRINA ALFONSI (2) | 9. ANDREA ALEMANNI (1) | 10. GIULIA TEMPESTA (1),14,1. TIZIANA BIOLGHINI (3) | 2. SIMONE SAPIENZA (2) | 3. GIAN LUCA RIPARBELLI (1) | 4. ISABELLA BORRELLI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. CLAUDIA PRATELLI (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
