SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
93,82,0.1971153846153846,1. MATTEO PIETROSANTE (8) | 2. NASTASSJA HABDANK (6) | 3. FEDERICA RAMPINI (5) | 4. FILIPPO MARIA LAGUZZI (5) | 5. LORENZO SPIZZICHINO (4) | 6. PAOLA CAVALIERI (3) | 7. NICOLETTA FUNGHI (2) | 8. ROBERTO CASAMENTO (2) | 9. CESARE ALFIDI (1) | 10. GABRIELE CARRADORI (1),municipio3_2021
94,78,0.1625,1. ROBERTO CASAMENTO (7) | 2. PAOLA CAVALIERI (5) | 3. SIMONA SORTINO (5) | 4. LORENZO SPIZZICHINO (4) | 5. CESARE ALFIDI (2) | 6. GABRIELE CARRADORI (2) | 7. MATTEO PIETROSANTE (2) | 8. NASTASSJA HABDANK (2) | 9. FEDERICA RAMPINI (1) | 10. FILIPPO MARIA LAGUZZI (1),municipio3_2021
95,69,0.17783505154639176,1. LORENZO SPIZZICHINO (5) | 2. ANTONIO COMITO (4) | 3. ROBERTO CASAMENTO (4) | 4. FILIPPO MARIA LAGUZZI (3) | 5. FEDERICA RAMPINI (2) | 6. FRANCESCO MANCINO (2) | 7. MARIA ANTONIETTA DEL MORO (2) | 8. NASTASSJA HABDANK (2) | 9. SIMONA SORTINO (2) | 10. LUIGI MAIO (1),municipio3_2021
96,105,0.20588235294117646,1. ROBERTO CASAMENTO (18) | 2. NASTASSJA HABDANK (8) | 3. LORENZO SPIZZICHINO (7) | 4. PAOLA CAVALIERI (7) | 5. MATTEO PIETROSANTE (4) | 6. NICOLETTA FUNGHI (3) | 7. SIMONA SORTINO (2) | 8. ANTONIO COMITO (1) | 9. FILIPPO MARIA LAGUZZI (1) | 10. FRANCESCO MANCINO (1),municipio3_2021
97,102,0.2138364779874214,1. FILIPPO MARIA LAGUZZI (8) | 2. FEDERICA RAMPINI (7) | 3. MATTEO PIETROSANTE (4) | 4. NASTASSJA HABDANK (4) | 5. MONICA MAGGI (2) | 6. GABRIELE MICHELI (1) | 7. LORENZO SPIZZICHINO (1) | 8. MARIA ANTONIETTA DEL MORO (1) | 9. PAOLA CAVALIERI (1) | 10. ROBERTO CASAMENTO (1),municipio3_2021
98,69,0.1994219653179191,1. LORENZO SPIZZICHINO (4) | 2. SIMONA RUSSO (4) | 3. ROBERTO CASAMENTO (3) | 4. CESARE ALFIDI (2) | 5. GABRIELE CARRADORI (2) | 6. LUIGI MAIO (2) | 7. MARIA TERESA ELLUL (2) | 8. MIRKO MANFRE' (2) | 9. NICOLETTA FUNGHI (2) | 10. PAOLA CAVALIERI (2),municipio3_2021
99,93,0.17032967032967034,1. NASTASSJA HABDANK (10) | 2. ROBERTO CASAMENTO (7) | 3. MATTEO PIETROSANTE (6) | 4. LUIGI MAIO (4) | 5. LORENZO SPIZZICHINO (3) | 6. ANTONIO COMITO (2) | 7. MONICA MAGGI (2) | 8. PAOLA CAVALIERI (2) | 9. SIMONA SORTINO (2) | 10. CESARE ALFIDI (1),municipio3_2021
100,128,0.2314647377938517,1. MARIA ANTONIETTA DEL MORO (16) | 2. NASTASSJA HABDANK (8) | 3. FILIPPO MARIA LAGUZZI (5) | 4. LORENZO SPIZZICHINO (5) | 5. ROBERTO CASAMENTO (4) | 6. FEDERICA RAMPINI (3) | 7. MIRKO MANFRE' (3) | 8. PAOLA CAVALIERI (3) | 9. MATTEO PIETROSANTE (2) | 10. MONICA MAGGI (2),municipio3_2021
101,66,0.16417910447761194,1. FILIPPO MARIA LAGUZZI (7) | 2. NASTASSJA HABDANK (5) | 3. FEDERICA RAMPINI (3) | 4. ROBERTO CASAMENTO (3) | 5. LORENZO SPIZZICHINO (2) | 6. MARIA ANTONIETTA DEL MORO (2) | 7. MATTEO PIETROSANTE (2) | 8. SILVIA DE ROSA (2) | 9. ANTONIO COMITO (1) | 10. CESARE ALFIDI (1),municipio3_2021
102,84,0.16766467065868262,1. LORENZO SPIZZICHINO (12) | 2. ANTONIO COMITO (8) | 3. PAOLA CAVALIERI (7) | 4. FEDERICA RAMPINI (6) | 5. ITALO DELLA BELLA (3) | 6. SIMONA SORTINO (3) | 7. CESARE ALFIDI (2) | 8. FILIPPO MARIA LAGUZZI (2) | 9. GABRIELE CARRADORI (2) | 10. LUIGI MAIO (2),municipio3_2021
